ZIP,2020_Race,2021_Race,2022_Race,2020_Poverty,2021_Poverty,2022_Poverty
ZIP,Non-Hispanic White,Non-Hispanic White,Non-Hispanic White,Poverty Rate,Poverty Rate,Poverty Rate
38002,28.3,28,27,5.2,6.5,5.6
38016,64.4,68.1,67,9.5,10,9.3
38017,27.5,27.1,30,2.9,2.9,2.7
38018,57.8,60.5,59.9,6.6,7.6,9.9
38028,26.7,27.7,32.3,3.2,5.2,5.3
38029,0,0,0,0,0,0
38053,35.7,34.9,37.4,13.4,14.7,13.1
38103,42.9,40.3,41.5,12.4,10.9,9.8
38104,36.6,36.8,38.8,18.2,16.7,15
38105,85.2,84.6,85,39.3,36.8,32.7
38106,97.9,97.9,97.9,40.2,41.2,40.1
38107,80.8,81.1,82.8,31,27.6,30.5
38108,81.8,81.8,82.6,37.4,38.4,35.7
38109,97.9,98,97.6,28.4,30.6,30.7
38111,61.3,62.7,64.4,25.2,25.2,23.9
38112,64.5,65.9,65.3,28.8,29.7,29.6
38114,96,95.8,95.2,34.7,32.8,32.3
38115,93.6,94.4,94.9,24.8,26.6,25
38116,96,95.9,95.3,27.2,28.8,28.4
38117,19.7,20.6,19.8,8.2,7.9,8.8
38118,94.2,94.4,94.5,33,34,32.1
38119,53.7,52.1,51.7,8.7,8.6,7.5
38120,21.3,17.6,18.7,7.4,7,6.5
38122,56.3,57.4,56.5,29.2,27.2,27.1
38125,88.2,88.4,89.3,8.5,7.6,8.3
38126,96.1,93.8,93.1,63.6,56.4,52.4
38127,90.9,89.9,90.8,42.3,36.8,37.4
38128,91.2,90.5,90.7,27,25.6,26.1
38133,45.3,51.6,49.4,5.9,8.3,5.3
38134,59.6,61.1,60.7,15.5,12.6,13.1
38135,40.6,42.9,44.8,5.5,8.6,8.2
38138,13.3,15.9,15.9,3.9,3.6,3.6
38139,11.6,11.3,13.6,0.5,0.6,0.8
38141,93.3,94.9,95.6,12.7,9.8,8.1
